Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Adeyemi, B.B.","57205710454","Use of discourse markers in writing and answering essay questions among undergraduates in Ondo State University of Science and Technology, Okitipupa, Nigeria",2018,"International Journal of Learning, Teaching and Educational Research",17,"7",,106,119,,,10.26803/ijlter.17.7.7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061294834&partnerID=40&md5=cdfd7a9b2a487d9f6519de6a238b22bc",Article,Final,Open Access,Scopus,2-s2.0-85061294834
"Dickerson, S.J., Clark, R.M.","57206548241; 24342833300","A classroom-based simulation-centric approach to microelectronics education",2018,"Computer Applications in Engineering Education",26,"4",,768,781,,4,10.1002/cae.21918,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050400074&partnerID=40&md5=c5c491eb8e25c99cb81647d7099bfa71",Article,Final,,Scopus,2-s2.0-85050400074
"McLay, K.M., Nederveen, J.P., Koval, J.J., Paterson, D.H., Murias, J.M.","57189309890; 55699158700; 24546774200; 7202986977; 14623024100","Allometric scaling of flow-mediated dilation: is it always helpful?",2018,"Clinical Physiology and Functional Imaging",38,"4",,663,669,,1,10.1111/cpf.12465,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048471074&partnerID=40&md5=3e8d01ab608dc6e83edab9d4e6006bbc",Article,Final,,Scopus,2-s2.0-85048471074
"Wierichs, R.J., Westphal, S., Lausch, J., Meyer-Lueckel, H., Esteves-Oliveira, M.","56429423800; 57200290451; 56019289800; 57207585085; 35782921600","Influence of highly concentrated fluoride dentifrices on remineralization characteristics of enamel in vitro",2018,"Clinical Oral Investigations",22,"6",,2325,2334,,1,10.1007/s00784-018-2333-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040665590&partnerID=40&md5=2e97bfd838c34ee79a6fc8ee216af96f",Article,Final,,Scopus,2-s2.0-85040665590
"Neumayer, B., Widek, T., Stollberger, R., Scheurer, E.","36731552700; 56418446100; 7003802389; 6508343149","Reproducibility of relaxometry of human lumbar vertebrae at 3 Tesla using <sup>1</sup> H MR spectroscopy",2018,"Journal of Magnetic Resonance Imaging",48,"1",,153,159,,,10.1002/jmri.25912,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049357388&partnerID=40&md5=397b1928968443cd80489b6f51b7029e",Article,Final,,Scopus,2-s2.0-85049357388
"Brooker, D., Evans, S., Evans, S., Bray, J., Saibene, F.L., Scorolli, C., Szcześniak, D., d'Arma, A., Urbańska, K.M., Atkinson, T., Farina, E., Rymaszewska, J., Chattat, R., Henderson, C., Rehill, A., Hendriks, I., Meiland, F., Dröes, R.-M.","7005094294; 55675224076; 57192416377; 55704568800; 56449452200; 25121845400; 23570164700; 35239901900; 57188958270; 56084501100; 7006124237; 6701750527; 6602946090; 16022078600; 56586242200; 57189066191; 6701407422; 6602721437","Evaluation of the implementation of the Meeting Centres Support Program in Italy, Poland, and the UK; exploration of the effects on people with dementia",2018,"International Journal of Geriatric Psychiatry",33,"7",,883,892,,1,10.1002/gps.4865,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043355156&partnerID=40&md5=78ceefbc759b55239cd7fd4eac53582a",Article,Final,,Scopus,2-s2.0-85043355156
"Vetter, T.R., Schober, P.","18736813600; 22954500000","Regression: The apple does not fall far from the tree",2018,"Anesthesia and Analgesia",127,"1",,277,283,,3,10.1213/ANE.0000000000003424,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053390689&partnerID=40&md5=68c5a8915e7ecb15951d6f290b9c89a3",Article,Final,,Scopus,2-s2.0-85053390689
"Mustami, M.K., Safitri, D.","57163863600; 57209463429","The effects of numbered heads together-Assurance Relevance Interest Assessment Satisfaction on students' motivation",2018,"International Journal of Instruction",11,"3",,123,134,,2,10.12973/iji.2018.1139a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048938463&partnerID=40&md5=87dc4d6583ed82434f00255a245bfebc",Article,Final,Open Access,Scopus,2-s2.0-85048938463
"Georgieff, A., Lepinteur, A.","57203137423; 57202209610","Partial employment protection and perceived job security: Evidence from France",2018,"Oxford Economic Papers",70,"3",,846,867,,,10.1093/oep/gpy009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050636480&partnerID=40&md5=52b89f9cdddb360bb1dfcd7ab04b5298",Article,Final,,Scopus,2-s2.0-85050636480
"Ikegawa, M., Tokunaga, S.","56644432700; 16242330400","Location choice for Japanese frozen food industry in East Asia using domestic market access with the penetration rate of refrigerators",2018,"Annals of Regional Science",61,"1",,209,227,,1,10.1007/s00168-018-0865-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046768063&partnerID=40&md5=956cc371f8752bbfb9c2c86c2706e465",Article,Final,,Scopus,2-s2.0-85046768063
"Ciocca, L., Meneghello, R., Monaco, C., Savio, G., Scheda, L., Gatto, M.R., Baldissara, P.","6603055552; 6506157408; 7006885371; 14048903400; 57197843607; 7006490964; 6602843826","In vitro assessment of the accuracy of digital impressions prepared using a single system for full-arch restorations on implants",2018,"International Journal of Computer Assisted Radiology and Surgery",13,"7",,1097,1108,,2,10.1007/s11548-018-1719-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045139474&partnerID=40&md5=025ba291b3c5b25c1d62373d79904b82",Article,Final,,Scopus,2-s2.0-85045139474
"Zhang, S., Xie, C., Li, H., Zhang, K., Li, J., Wang, X., Yin, Z.","57051721900; 56447705300; 55791336300; 57189460949; 36067784800; 7501857588; 47961622300","Ubiquitin-specific protease 11 serves as a marker of poor prognosis and promotes metastasis in hepatocellular carcinoma",2018,"Laboratory Investigation",98,"7",,883,894,,2,10.1038/s41374-018-0050-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044066485&partnerID=40&md5=d703a3def471145593003746fb3dd8ea",Article,Final,,Scopus,2-s2.0-85044066485
"Prasad, M., Gopika, V., Sridharan, A., Parida, S., Gaikwad, A.J.","57197403607; 8552780700; 26634476200; 57111682500; 7006596837","Hougaard process stochastic model to predict wall thickness in Flow Accelerated Corrosion",2018,"Annals of Nuclear Energy",117,"",,247,258,,1,10.1016/j.anucene.2018.03.035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056080832&partnerID=40&md5=5de9295676450cf46466b78e7a41de82",Article,Final,,Scopus,2-s2.0-85056080832
"Han, H., Hwang, J.","21233360400; 36052898700","Investigating healthcare hotel travelers’ overall image formation: Impact of cognition, affect, and conation",2018,"Tourism and Hospitality Research",18,"3",,346,356,,3,10.1177/1467358416670936,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049017271&partnerID=40&md5=dbd636bcb0c2e1e6c7b914f5b5dfb1ca",Article,Final,,Scopus,2-s2.0-85049017271
"Kennedy, H.L.","24076402700","Isotropic Estimators of Local Background Statistics for Target Detection in Imagery",2018,"IEEE Geoscience and Remote Sensing Letters",15,"7",,1075,1079,,1,10.1109/LGRS.2018.2821120,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045762567&partnerID=40&md5=173048bd32d560e1d63f68de54a30600",Article,Final,,Scopus,2-s2.0-85045762567
"Balakrishnan, R., Nanjundaiah, R.M., Manjunath, N.K.","57194678952; 57201423743; 7003829630","Voluntarily induced vomiting – A yoga technique to enhance pulmonary functions in healthy humans",2018,"Journal of Ayurveda and Integrative Medicine",9,"3",,213,216,,,10.1016/j.jaim.2017.07.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044720208&partnerID=40&md5=68fee9c8f22a34b46ac6012e3a2ecf77",Article,Final,Open Access,Scopus,2-s2.0-85044720208
"Butterworth, S.E., Daruwala, S.E., Anestis, M.D.","57194024181; 55191309000; 15821688600","Firearm storage and shooting experience: Factors relevant to the practical capability for suicide",2018,"Journal of Psychiatric Research",102,"",,52,56,,,10.1016/j.jpsychires.2018.03.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044578153&partnerID=40&md5=18b6569d9dbfebbeec024b692aad9785",Article,Final,,Scopus,2-s2.0-85044578153
"Picatoste, J., Pérez-Ortiz, L., Ruesga-Benito, S.M.","57204966728; 57195973503; 36979655300","A new educational pattern in response to new technologies and sustainable development. Enlightening ICT skills for youth employability in the European Union",2018,"Telematics and Informatics",35,"4",,1031,1038,,1,10.1016/j.tele.2017.09.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030650601&partnerID=40&md5=2cecea2fbe8edc3dae868f9523765175",Article,Final,,Scopus,2-s2.0-85030650601
"Bakioglu, B., Karamustafaoglu, O., Karamustafaoglu, S., Yapici, S.","57205609891; 18037755800; 36183925700; 57205612293","The effects of out-of-school learning settings science activities on 5th graders’ academic achievement",2018,"European Journal of Educational Research",7,"3",,451,464,,,10.12973/eu-jer.7.3.451,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060783952&partnerID=40&md5=8c36864c846c5099ab5d9df246768f9e",Article,Final,Open Access,Scopus,2-s2.0-85060783952
"Cardoso-Vargas, C.-E.","57189895964","Where do firms export, why do they choose that market, who sell more and how many trade? An analysis with mexican manufacturing firms located in Mexico | ¿A dónde exportan las firmas, por qué eligen ese mercado, quiénes venden más y cuántas comercian? Un análisis con firmas manufactureras localizadas en México",2018,"Trimestre Economico",85,"339",,601,643,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050028848&partnerID=40&md5=9935fdb9c3d5e585a16d020c81fd778a",Article,Final,,Scopus,2-s2.0-85050028848
"Schmieder, G.J., Draelos, Z.D., Pariser, D.M., Banfield, C., Cox, L., Hodge, M., Kieras, E., Parsons-Rich, D., Menon, S., Salganik, M., Page, K., Peeva, E.","56855869500; 7005516487; 35974606500; 7003453419; 56973450200; 57201068344; 35573669900; 57193989218; 56973427300; 57191567332; 7102902114; 6603061143","Efficacy and safety of the Janus kinase 1 inhibitor PF-04965842 in patients with moderate-to-severe psoriasis: phase II, randomized, double-blind, placebo-controlled study",2018,"British Journal of Dermatology",179,"1",,54,62,,9,10.1111/bjd.16004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040798280&partnerID=40&md5=73f111978c7f8aaea748244570d17cfe",Article,Final,,Scopus,2-s2.0-85040798280
"Karaa, I.","56623159700","Moral Hazard and Learning in the Tunisian Automobile Insurance Market: New Evidence from Dynamic Data",2018,"Geneva Papers on Risk and Insurance: Issues and Practice",43,"3",,560,589,,,10.1057/s41288-017-0072-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038820442&partnerID=40&md5=de5c9bfc2a12dec6e69f7668a2cf7e15",Article,Final,,Scopus,2-s2.0-85038820442
"Shi, Y., Chang, C.-P., Jang, C.-L., Hao, Y.","36987270700; 7407036338; 36806303000; 56430318800","Does economic performance affect officials’ turnover? Evidence from municipal government leaders in China",2018,"Quality and Quantity",52,"4",,1873,1891,,,10.1007/s11135-017-0573-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029076308&partnerID=40&md5=50b29e217662962db60d93afbeef94f4",Article,Final,,Scopus,2-s2.0-85029076308
"Gelonch, O., Garolera, M., Valls, J., Castella, G., Varela, O., Rossello, L., Pifarre, J.","6503984168; 25228350200; 16461189200; 56501877900; 57202403709; 56007245500; 7801486426","The effect of depressive symptoms on cognition in patients with fibromyalgia",2018,"PLoS ONE",13,"7", e0200057,,,,,10.1371/journal.pone.0200057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049535690&partnerID=40&md5=d6cb0062c8eb5ee0f42a2ab8bfb4b8cc",Article,Final,Open Access,Scopus,2-s2.0-85049535690
"Politte, L.C., Scahill, L., Figueroa, J., McCracken, J.T., King, B., McDougle, C.J.","57000661100; 7006830321; 57208798985; 55667274200; 7402688691; 7005150292","A randomized, placebo-controlled trial of extended-release guanfacine in children with autism spectrum disorder and ADHD symptoms: An analysis of secondary outcome measures",2018,"Neuropsychopharmacology",43,"8",,1772,1778,,3,10.1038/s41386-018-0039-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043697771&partnerID=40&md5=c189a8d7fb6a0e9d4c28d314cabb6993",Article,Final,,Scopus,2-s2.0-85043697771
"Ebad Sichani, M., Padgett, J.E., Bisadi, V.","57201391357; 15729739800; 39361009200","Probabilistic seismic analysis of concrete dry cask structures",2018,"Structural Safety",73,"",,87,98,,6,10.1016/j.strusafe.2018.03.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044596574&partnerID=40&md5=3ff8132745123e22dd9302b246cbddf4",Article,Final,,Scopus,2-s2.0-85044596574
"Montaño-Velázquez, B.B., Lara-Sánchez, D.A., Orozco-Sánchez, A., García-Vázquez, F.J., Mora-Campos, M.R., Jáuregui-Renaud, K.","10840166000; 57202573779; 57202574674; 37013017700; 57202578015; 55993778900","Sex difference in counts of α4 and α7 nicotinic acetylcholine receptors in the nasal polyps of adults with or without exposure to tobacco smoke",2018,"Journal of Laryngology and Otology",132,"7",,596,599,,1,10.1017/S0022215118000373,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048746331&partnerID=40&md5=b2c541b2a608b6599cc6f1634696e79b",Article,Final,,Scopus,2-s2.0-85048746331
"Yuwanich, N., Akhavan, S., Nantsupawat, W., Martin, L., Elfström, M.L., Sandborgh, M.","57189075303; 6701801059; 57200450130; 7403869960; 8046272500; 15754498600","Development and psychometric properties of the stressor scale for emergency nurses",2018,"International Emergency Nursing",39,"",,77,88,,,10.1016/j.ienj.2018.01.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041302081&partnerID=40&md5=10d811de1e63b1117610de616e11065a",Article,Final,,Scopus,2-s2.0-85041302081
"Rummel, A.D., Swartz, S.M., Marsh, R.L.","57203038576; 7101619335; 35935097400","Low thermal dependence of the contractile properties of a wing muscle in the bat Carollia perspicillata",2018,"Journal of Experimental Biology",221,"14", jeb180166,,,,,10.1242/jeb.180166,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050364007&partnerID=40&md5=27b88228c154943daae139df8703630a",Article,Final,Open Access,Scopus,2-s2.0-85050364007
"Vluymans, S., Fernández, A., Saeys, Y., Cornelis, C., Herrera, F.","57004907200; 55071729400; 6507925214; 57206712769; 7102347190","Dynamic affinity-based classification of multi-class imbalanced data with one-versus-one decomposition: a fuzzy rough set approach",2018,"Knowledge and Information Systems",56,"1",,55,84,,5,10.1007/s10115-017-1126-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031934275&partnerID=40&md5=7feff577b8eb9fd0a90ffd28127f35b6",Article,Final,,Scopus,2-s2.0-85031934275
"McCombe, D., Ackerman, J.D.","57201780949; 7102318399","Collector motion affects particle capture in physical models and in wind pollination",2018,"American Naturalist",192,"1",,81,93,,2,10.1086/697551,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046092747&partnerID=40&md5=f4cdc7231e6960b7dda7353ed484a380",Article,Final,,Scopus,2-s2.0-85046092747
"Miranda-Zapata, E., Lara, L., Navarro, J.-J., Saracostti, M., de-Toro, X.","56541706200; 57188696592; 55426117100; 24345505300; 57201731876","Modeling the Effect of School Engagement on Attendance to Classes and School Performance | Modelización del efecto del compromiso escolar sobre la asistencia a clases y el rendimiento escolar",2018,"Revista de Psicodidactica",23,"2",,102,109,,2,10.1016/j.psicod.2018.02.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045932840&partnerID=40&md5=73687975d73457483a08b1e07f1ac038",Article,Final,,Scopus,2-s2.0-85045932840
"Xie, J., Zhou, Z.E., Gong, Y.","57190434253; 55598142000; 36986942000","Relationship between proactive personality and marital satisfaction: A spillover-crossover perspective",2018,"Personality and Individual Differences",128,"",,75,80,,1,10.1016/j.paid.2018.02.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044394015&partnerID=40&md5=e9b312e24ab35fd91d000cf4e1985d26",Article,Final,,Scopus,2-s2.0-85044394015
"Inauen, J., Stocker, A., Scholz, U.","35724058100; 57195450928; 13103715100","Why and for Whom May Coping Planning Have Adverse Effects? A Moderated Mediation Analysis",2018,"Applied Psychology: Health and Well-Being",10,"2",,272,289,,1,10.1111/aphw.12130,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046693897&partnerID=40&md5=bb87b66211ba8901c19e90fbab91c54b",Article,Final,,Scopus,2-s2.0-85046693897
"Stuifbergen, A.K., Becker, H., Perez, F., Morrison, J., Brown, A., Kullberg, V., Zhang, W.","7004533602; 7403954221; 7202279363; 7403196930; 17344851000; 6508387653; 57194347482","Computer-assisted cognitive rehabilitation in persons with multiple sclerosis: Results of a multi-site randomized controlled trial with six month follow-up",2018,"Disability and Health Journal",11,"3",,427,434,,2,10.1016/j.dhjo.2018.02.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042328451&partnerID=40&md5=384f391ccd28ab6cb017ae98ab499591",Article,Final,Open Access,Scopus,2-s2.0-85042328451
"Igual, R., Plaza, I., Marcuello, J.J., Arcega, F.","35217882800; 6603887633; 25122750600; 56005326200","A survey on modeling and simulation practices for teaching power harmonics",2018,"Computer Applications in Engineering Education",26,"4",,804,823,,1,10.1002/cae.21911,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050396959&partnerID=40&md5=99ebe4edca68c14114d0f0326e6ca7fd",Article,Final,,Scopus,2-s2.0-85050396959
"Naafe, M., Kariman, N., Keshavarz, Z., Khademi, N., Mojab, F., Mohammadbeigi, A.","57203033547; 35798408100; 8668201800; 57203033916; 7801417787; 36809981900","Effect of hydroalcoholic extracts of capsella bursa-pastoris on heavy menstrual bleeding: A randomized clinical trial",2018,"Journal of Alternative and Complementary Medicine",24,"7",,694,700,,,10.1089/acm.2017.0267,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050365650&partnerID=40&md5=e1f60f229958b174d10b4ee783d95c52",Article,Final,,Scopus,2-s2.0-85050365650
"Bonnet, J.L., Herakova, L., McAlexander, B.","55302985900; 35102143600; 24338899200","Play On? Comparing Active Learning Techniques for Information Literacy Instruction in the Public Speaking Course",2018,"Journal of Academic Librarianship",44,"4",,500,510,,,10.1016/j.acalib.2018.04.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047088116&partnerID=40&md5=ca02fa20e60e3b840041832c1843eedc",Article,Final,,Scopus,2-s2.0-85047088116
"Smenes, B.T., Bækkerud, F.H., Slagsvold, K.H., Hassel, E., Wohlwend, M., Pinho, M., Høydal, M., Wisløff, U., Rognmo, Ø., Wahba, A.","57204465416; 56505510900; 55979698500; 56389421200; 56611877100; 57204473772; 15044529000; 57204822365; 8099294200; 55979905300","Acute exercise is not cardioprotective and may induce apoptotic signalling in heart surgery: A randomized controlled trial",2018,"Interactive Cardiovascular and Thoracic Surgery",27,"1",,95,101,,1,10.1093/icvts/ivx439,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055715901&partnerID=40&md5=14282c55dc240caa1cfbe76ed4f7fea2",Article,Final,Open Access,Scopus,2-s2.0-85055715901
"Collado-Boira, E.J., Machancoses, F.H., Temprado, M.D.","57190950661; 57015631200; 16551221100","Development and validation of an instrument measuring self-care in persons with a fecal ostomy",2018,"Journal of Wound, Ostomy and Continence Nursing",45,"4",,335,340,,,10.1097/WON.0000000000000444,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052657670&partnerID=40&md5=aef8fe7c225b4008e42d3f47b318b7f9",Article,Final,,Scopus,2-s2.0-85052657670
"Hairston, T.R., Laux, J.M., O’Hara, C., Roseman, C.P., Gore, S.","55044322900; 6701353575; 55348933800; 55312917000; 57202776945","Counselor Education Students’ Perceptions of Wellness and Mental Health in African American Men: The Effects of Colorism",2018,"Journal of Multicultural Counseling and Development",46,"3",,171,185,,,10.1002/jmcd.12100,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049339012&partnerID=40&md5=5d652713a3e25b80d02190d18cb68ce3",Article,Final,,Scopus,2-s2.0-85049339012
"Kurt, A., Erkose-Genc, G., Uzun, M., Sarı, T., Isik-Ozkol, G.","57191035063; 56344526300; 8888312400; 55207420900; 55954197700","The Effect of Cleaning Solutions on a Denture Base Material: Elimination of Candida albicans and Alteration of Physical Properties",2018,"Journal of Prosthodontics",27,"6",,577,583,,5,10.1111/jopr.12539,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84985905702&partnerID=40&md5=8473790e0e8e2086082e30bed595a2c7",Article,Final,,Scopus,2-s2.0-84985905702
"Genc, S., Malpas, C.B., Ball, G., Silk, T.J., Seal, M.L.","57050179300; 56580275300; 55816484100; 6603857354; 23493646900","Age, sex, and puberty related development of the corpus callosum: a multi-technique diffusion MRI study",2018,"Brain Structure and Function",223,"6",,2753,2765,,8,10.1007/s00429-018-1658-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045033443&partnerID=40&md5=b90b48234f2d3bbb3e2f53d8d7a98a28",Article,Final,,Scopus,2-s2.0-85045033443
"Hitz, M., Schütz, P., Angst, M., Taylor, W.R., List, R.","56589729100; 56369960800; 57193868448; 57087767500; 16233859100","Influence of the moving fluoroscope on gait patterns",2018,"PLoS ONE",13,"7", e0200608,,,,2,10.1371/journal.pone.0200608,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050675686&partnerID=40&md5=526a19c8f29541e16be154184e97631c",Article,Final,Open Access,Scopus,2-s2.0-85050675686
"Broadney, M.M., Shareef, F., Marwitz, S.E., Brady, S.M., Yanovski, S.Z., DeLany, J.P., Yanovski, J.A.","56580366300; 57201740249; 57191707252; 14021253800; 7004362945; 7006890914; 7006336761","Evaluating the contribution of differences in lean mass compartments for resting energy expenditure in African American and Caucasian American children",2018,"Pediatric Obesity",13,"7",,413,420,,,10.1111/ijpo.12282,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046012859&partnerID=40&md5=562d1f1c863315014f0b14b6eabd3cf5",Article,Final,,Scopus,2-s2.0-85046012859
"de Oliveira, R.O., Spers, E.E.","57204136532; 24391639800","Brand equity in agribusiness: Brazilian consumer perceptions of pork products | Brand equity no agronegócio: Percepção do consumidor brasileiro de carne suína | Brand equity en la agroindustria: Percepciones del consumidor brasileño de carnes porcinas",2018,"RAE Revista de Administracao de Empresas",58,"4",,365,379,,1,10.1590/S0034-759020180403,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054624170&partnerID=40&md5=9bcf2c56d7c7e1dbafe7d9e8b5b4dd6b",Article,Final,Open Access,Scopus,2-s2.0-85054624170
"Jayaraman, S., Talib, P., Khan, A.F.","57204107732; 36159022500; 57193697526","Integrated Talent Management Scale: Construction and Initial Validation",2018,"SAGE Open",8,"3",,,,,,10.1177/2158244018780965,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054486001&partnerID=40&md5=00d1053c710abc1a9ce4111a3e207d9f",Article,Final,Open Access,Scopus,2-s2.0-85054486001
"Nachman, E., Clemensen, P., Santos, K., Cole, A.R., Polizzotti, B.D., Hofmann, G., Leeman, K.T., Van Den Bosch, S.J., Kheir, J.N.","57203893863; 57205279531; 57203884514; 57191858591; 6506687137; 57203893121; 56004041400; 57200269946; 16307130200","A device for the quantification of oxygen consumption and caloric expenditure in the neonatal range",2018,"Anesthesia and Analgesia",127,"1",,95,104,,,10.1213/ANE.0000000000003308,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053424227&partnerID=40&md5=fc39ae6cdfb127f7ecb428bfe241db4c",Article,Final,,Scopus,2-s2.0-85053424227
"Ferrando, A., Ruggieri, A.","16635969900; 57202783700","Financial constraints and productivity: Evidence from euro area companies",2018,"International Journal of Finance and Economics",23,"3",,257,282,,,10.1002/ijfe.1615,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049353004&partnerID=40&md5=560377b77a53d44ced1e9ec867747b29",Article,Final,,Scopus,2-s2.0-85049353004
"Kapoor, A.P., Vij, M.","57202542420; 56112645800","Technology at the dinner table: Ordering food online through mobile apps",2018,"Journal of Retailing and Consumer Services",43,"",,342,351,,4,10.1016/j.jretconser.2018.04.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048712475&partnerID=40&md5=0aa5700f1f1cfc40a57e8b2632ddcae2",Article,Final,,Scopus,2-s2.0-85048712475
"Van Loey, N.E., Klein-König, I., de Jong, A.E.E., Hofland, H.W.C., Vandermeulen, E., Engelhard, I.M.","6507155993; 57202442883; 35513753500; 8520082200; 56020975200; 6701593489","Catastrophizing, pain and traumatic stress symptoms following burns: A prospective study",2018,"European Journal of Pain (United Kingdom)",22,"6",,1151,1159,,5,10.1002/ejp.1203,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047832925&partnerID=40&md5=7a7bd9bb81f2154eec9cfb543d139d50",Article,Final,,Scopus,2-s2.0-85047832925
"D'Amico, E.J., Rodriguez, A., Tucker, J.S., Pedersen, E.R., Shih, R.A.","7006485919; 57200070210; 7401465760; 8702823300; 36136269500","Planting the seed for marijuana use: Changes in exposure to medical marijuana advertising and subsequent adolescent marijuana use, cognitions, and consequences over seven years",2018,"Drug and Alcohol Dependence",188,"",,385,391,,10,10.1016/j.drugalcdep.2018.03.031,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047085512&partnerID=40&md5=635c0c5853afcb5bf06e9c8c4d421528",Article,Final,,Scopus,2-s2.0-85047085512
"Engelman, M., Lagerkvist, C.-J., Gren, I.-M.","57201741713; 8515509000; 6701842582","Hunters’ trade-off in valuation of different game animals in Sweden",2018,"Forest Policy and Economics",92,"",,73,81,,,10.1016/j.forpol.2018.04.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046038876&partnerID=40&md5=3e91658eeab8f5f851b1bb378a692408",Article,Final,,Scopus,2-s2.0-85046038876
"Coker, D.L., Ritchey, K.D., Uribe-Zarain, X., Jennings, A.S.","23994776600; 23111817200; 26538252400; 57203689584","An Analysis of First-Grade Writing Profiles and Their Relationship to Compositional Quality",2018,"Journal of Learning Disabilities",51,"4",,336,350,,3,10.1177/0022219417708171,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042356316&partnerID=40&md5=939f06c29fc272780def3149ff033318",Article,Final,,Scopus,2-s2.0-85042356316
"Zanderigo, F., Pantazatos, S., Rubin-Falcone, H., Ogden, R.T., Chhetry, B.T., Sullivan, G., Oquendo, M., Miller, J.M., Mann, J.J.","15520366800; 6507880777; 55799121000; 7005080395; 56001202700; 7202322251; 7004033396; 57203033955; 36043141000","In vivo relationship between serotonin 1A receptor binding and gray matter volume in the healthy brain and in major depressive disorder",2018,"Brain Structure and Function",223,"6",,2609,2625,,2,10.1007/s00429-018-1649-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044085716&partnerID=40&md5=82ef7c7f90d24d8ad87a7b16a11183bf",Article,Final,,Scopus,2-s2.0-85044085716
"Yeamin Hossain, M., Pramanik, M.N.U., Hossen, M.A., Nawer, F., Khatun, D., Farida Parvin, M., Rahman, O., Ahmed, Z.F., Ahamed, F.","36024773700; 56646119400; 56549718200; 56830557000; 57193501808; 57202682091; 7004096869; 7102787055; 23977418700","Life-history traits of pool barb puntius sophore (Cyprinidae) in different ecosystems of Bangladesh",2018,"Indian Journal of Geo-Marine Sciences",47,"7",,1446,1454,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049046442&partnerID=40&md5=f1dab295b5dc7231c9896376684b9d15",Article,Final,,Scopus,2-s2.0-85049046442
"Tello, N., Bocage-Barthélémy, Y., Dandaba, M., Jaafari, N., Chatard, A.","57200720612; 57194555588; 57195584660; 25647907600; 8426688200","Evaluative conditioning: A brief computer-delivered intervention to reduce college student drinking",2018,"Addictive Behaviors",82,"",,14,18,,1,10.1016/j.addbeh.2018.02.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042262349&partnerID=40&md5=9f7a74c1e6e57a00bc66d96dc5983a9e",Article,Final,,Scopus,2-s2.0-85042262349
