Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Low thermal dependence of the contractile properties of a wing muscle in the bat Carollia perspicillata.","/pubmed/29844201","Rummel AD, Swartz SM, Marsh RL.","J Exp Biol. 2018 Jul 18;221(Pt 14). pii: jeb180166. doi: 10.1242/jeb.180166.","J Exp Biol.  2018","PubMed","citation","PMID:29844201","pubmed","29844201","create date:2018/05/31 | first author:Rummel AD",
"Formal volunteering as a protector of health in the context of social losses.","/pubmed/29843571","Jang H, Tang F, Gonzales E, Lee YS, Morrow-Howell N.","J Gerontol Soc Work. 2018 Nov-Dec;61(8):834-848. doi: 10.1080/01634372.2018.1476945. Epub 2018 May 29.","J Gerontol Soc Work.  2018","PubMed","citation","PMID:29843571","pubmed","29843571","create date:2018/05/31 | first author:Jang H",
"Drivers Are More Physically Active Than Non-Drivers in Older Adults.","/pubmed/29843415","Amagasa S, Fukushima N, Kikuchi H, Takamiya T, Odagiri Y, Oka K, Inoue S.","Int J Environ Res Public Health. 2018 May 28;15(6). pii: E1094. doi: 10.3390/ijerph15061094.","Int J Environ Res Public Health.  2018","PubMed","citation","PMID:29843415 | PMCID:PMC6025007","pubmed","29843415","create date:2018/05/31 | first author:Amagasa S",
"Human Immunodeficiency Virus Infection in Huntington's Disease is Associated with an Earlier Age of Symptom Onset.","/pubmed/29843248","Schultz JL, Nopoulos PC, Gonzalez-Alegre P.","J Huntingtons Dis. 2018;7(2):163-166. doi: 10.3233/JHD-180287.","J Huntingtons Dis.  2018","PubMed","citation","PMID:29843248","pubmed","29843248","create date:2018/05/31 | first author:Schultz JL",
"Reducing Health Disparities: Understanding the Unintended Effects of Health Care Professional and Patient Characteristics on Treatment.","/pubmed/29809254","Nazione S, Nazione A.","J Am Osteopath Assoc. 2018 Jun 1;118(6):376-383. doi: 10.7556/jaoa.2018.081.","J Am Osteopath Assoc.  2018","PubMed","citation","PMID:29809254","pubmed","29809254","create date:2018/05/29 | first author:Nazione S",
"Masticatory efficiency contributing to the improved dynamic postural balance: A cross-sectional study.","/pubmed/29808520","Hwang HY, Choi JS, Kim HE.","Gerodontology. 2018 May 28. doi: 10.1111/ger.12349. [Epub ahead of print]","Gerodontology.  2018","PubMed","citation","PMID:29808520","pubmed","29808520","create date:2018/05/29 | first author:Hwang HY",
"Cdx-2 polymorphism in the vitamin D receptor gene (VDR) marks VDR expression in monocyte/macrophages through VDR promoter methylation.","/pubmed/29808256","Meyer V, Bornman L.","Immunogenetics. 2018 Aug;70(8):523-532. doi: 10.1007/s00251-018-1063-5. Epub 2018 May 28.","Immunogenetics.  2018","PubMed","citation","PMID:29808256","pubmed","29808256","create date:2018/05/29 | first author:Meyer V",
"Auditory steady state response deficits are associated with symptom severity and poor functioning in patients with psychotic disorder.","/pubmed/29807805","Zhou TH, Mueller NE, Spencer KM, Mallya SG, Lewandowski KE, Norris LA, Levy DL, Cohen BM, Öngür D, Hall MH.","Schizophr Res. 2018 Nov;201:278-286. doi: 10.1016/j.schres.2018.05.027. Epub 2018 May 26.","Schizophr Res.  2018","PubMed","citation","PMID:29807805","pubmed","29807805","create date:2018/05/29 | first author:Zhou TH",
"Apolipoprotein E DNA methylation and posttraumatic stress disorder are associated with plasma ApoE level: A preliminary study.","/pubmed/29807071","Nielsen DA, Spellicy CJ, Harding MJ, Graham DP.","Behav Brain Res. 2019 Jan 1;356:415-422. doi: 10.1016/j.bbr.2018.05.013. Epub 2018 May 26.","Behav Brain Res.  2019","PubMed","citation","PMID:29807071","pubmed","29807071","create date:2018/05/29 | first author:Nielsen DA",
"An investigation of the effects of curcumin on iron overload, hepcidin level, and liver function in β-thalassemia major patients: A double-blind randomized controlled clinical trial.","/pubmed/29806132","Mohammadi E, Tamaddoni A, Qujeq D, Nasseri E, Zayeri F, Zand H, Gholami M, Mir SM.","Phytother Res. 2018 Sep;32(9):1828-1835. doi: 10.1002/ptr.6118. Epub 2018 May 28.","Phytother Res.  2018","PubMed","citation","PMID:29806132","pubmed","29806132","create date:2018/05/29 | first author:Mohammadi E",
"Using telehealth to optimize healthy independent living for older adults: A feasibility study.","/pubmed/29804689","Bakas T, Sampsel D, Israel J, Chamnikar A, Bodnarik B, Clark JG, Ulrich MG, Vanderelst D.","Geriatr Nurs. 2018 Sep - Oct;39(5):566-573. doi: 10.1016/j.gerinurse.2018.04.002. Epub 2018 May 24.","Geriatr Nurs.  2018","PubMed","citation","PMID:29804689 | PMCID:PMC6204306","pubmed","29804689","create date:2018/05/29 | first author:Bakas T",
"Association between Clustering of Lifestyle Behaviors and Health-Related Physical Fitness in Youth: The UP&DOWN Study.","/pubmed/29803300","Cabanas-Sánchez V, Martínez-Gómez D, Izquierdo-Gómez R, Segura-Jiménez V, Castro-Piñero J, Veiga OL.","J Pediatr. 2018 Aug;199:41-48.e1. doi: 10.1016/j.jpeds.2018.03.075. Epub 2018 May 24.","J Pediatr.  2018","PubMed","citation","PMID:29803300","pubmed","29803300","create date:2018/05/29 | first author:Cabanas-Sánchez V",
"In which patients does lumbar spine trabecular bone score (TBS) have the largest effect?","/pubmed/29802962","Martineau P, Leslie WD, Johansson H, Harvey NC, McCloskey EV, Hans D, Kanis JA.","Bone. 2018 Aug;113:161-168. doi: 10.1016/j.bone.2018.05.026. Epub 2018 May 23.","Bone.  2018","PubMed","citation","PMID:29802962 | PMCID:PMC6013036","pubmed","29802962","create date:2018/05/29 | first author:Martineau P",
"Frailty Assessment Predicts Acute Outcomes in Patients Undergoing Screening Colonoscopy.","/pubmed/29796910","Taleban S, Toosizadeh N, Junna S, Golden T, Ghazala S, Wadeea R, Tirambulo C, Mohler J.","Dig Dis Sci. 2018 Dec;63(12):3272-3280. doi: 10.1007/s10620-018-5129-x. Epub 2018 May 24.","Dig Dis Sci.  2018","PubMed","citation","PMID:29796910","pubmed","29796910","create date:2018/05/26 | first author:Taleban S",
"Mycophenolate for persistent complex regional pain syndrome, a parallel, open, randomised, proof of concept trial.","/pubmed/29794285","Goebel A, Jacob A, Frank B, Sacco P, Alexander G, Philips C, Bassett P, Moots R.","Scand J Pain. 2018 Jan 26;18(1):29-37. doi: 10.1515/sjpain-2017-0154.","Scand J Pain.  2018","PubMed","citation","PMID:29794285","pubmed","29794285","create date:2018/05/26 | first author:Goebel A",
"An experimental investigation of the relationships among race, prayer, and pain.","/pubmed/29794272","Meints SM, Mosher C, Rand KL, Ashburn-Nardo L, Hirsh AT.","Scand J Pain. 2018 Jul 26;18(3):545-553. doi: 10.1515/sjpain-2018-0040.","Scand J Pain.  2018","PubMed","citation","PMID:29794272 | PMCID:PMC6078097","pubmed","29794272","create date:2018/05/26 | first author:Meints SM",
"The influence of isometric exercise on endogenous pain modulation: comparing exercise-induced hypoalgesia and offset analgesia in young, active adults.","/pubmed/29794265","Harris S, Sterling M, Farrell SF, Pedler A, Smith AD.","Scand J Pain. 2018 Jul 26;18(3):513-523. doi: 10.1515/sjpain-2017-0177.","Scand J Pain.  2018","PubMed","citation","PMID:29794265","pubmed","29794265","create date:2018/05/26 | first author:Harris S",
"Effects of lifetime cumulative ginseng intake on cognitive function in late life.","/pubmed/29793529","Lho SK, Kim TH, Kwak KP, Kim K, Kim BJ, Kim SG, Kim JL, Kim TH, Moon SW, Park JY, Park JH, Byun S, Suh SW, Seo JY, So Y, Ryu SH, Youn JC, Lee KH, Lee DY, Lee DW, Lee SB, Lee JJ, et al.","Alzheimers Res Ther. 2018 May 24;10(1):50. doi: 10.1186/s13195-018-0380-0.","Alzheimers Res Ther.  2018","PubMed","citation","PMID:29793529 | PMCID:PMC5968575","pubmed","29793529","create date:2018/05/26 | first author:Lho SK",
"Lumbar spinal stenosis: comparison of surgical practice variation and clinical outcome in three national spine registries.","/pubmed/29792994","Lønne G, Fritzell P, Hägg O, Nordvall D, Gerdhem P, Lagerbäck T, Andersen M, Eiskjaer S, Gehrchen M, Jacobs W, van Hooff ML, Solberg TK.","Spine J. 2019 Jan;19(1):41-49. doi: 10.1016/j.spinee.2018.05.028. Epub 2018 May 21.","Spine J.  2019","PubMed","citation","PMID:29792994","pubmed","29792994","create date:2018/05/25 | first author:Lønne G",
"The effects of a lifestyle-focused text-messaging intervention on adherence to dietary guideline recommendations in patients with coronary heart disease: an analysis of the TEXT ME study.","/pubmed/29792202","Santo K, Hyun K, de Keizer L, Thiagalingam A, Hillis GS, Chalmers J, Redfern J, Chow CK.","Int J Behav Nutr Phys Act. 2018 May 23;15(1):45. doi: 10.1186/s12966-018-0677-1.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:29792202 | PMCID:PMC5967045","pubmed","29792202","create date:2018/05/25 | first author:Santo K",
"Impact of two early treatment protocols for anterior dental crossbite on children's quality of life.","/pubmed/29791690","Miamoto CB, Marques LS, Abreu LG, Paiva SM.","Dental Press J Orthod. 2018 Jan;23(1):71-78. doi: 10.1590/2177-6709.23.1.071-078.oar.","Dental Press J Orthod.  2018","PubMed","citation","PMID:29791690 | PMCID:PMC5962250","pubmed","29791690","create date:2018/05/24 | first author:Miamoto CB",
"Fractional Flow Reserve and Instantaneous Wave-Free Ratio as Predictors of the Placebo-Controlled Response to Percutaneous Coronary Intervention in Stable Single-Vessel Coronary Artery Disease.","/pubmed/29789302","Al-Lamee R, Howard JP, Shun-Shin MJ, Thompson D, Dehbi HM, Sen S, Nijjer S, Petraco R, Davies J, Keeble T, Tang K, Malik IS, Cook C, Ahmad Y, Sharp ASP, Gerber R, Baker C, Kaprielian R, Talwar S, Assomull R, Cole G, Keenan NG, et al.","Circulation. 2018 Oct 23;138(17):1780-1792. doi: 10.1161/CIRCULATIONAHA.118.033801.","Circulation.  2018","PubMed","citation","PMID:29789302","pubmed","29789302","create date:2018/05/24 | first author:Al-Lamee R",
"Comparing corneal higher-order aberrations in corneal wavefront-guided transepithelial photorefractive keratectomy versus small-incision lenticule extraction.","/pubmed/29789156","Lee H, Yong Kang DS, Reinstein DZ, Arba-Mosquera S, Kim EK, Seo KY, Kim TI.","J Cataract Refract Surg. 2018 Jun;44(6):725-733. doi: 10.1016/j.jcrs.2018.03.028. Epub 2018 May 19.","J Cataract Refract Surg.  2018","PubMed","citation","PMID:29789156","pubmed","29789156","create date:2018/05/24 | first author:Lee H",
"Comparison of Fatigue Severity and Quality of Life between Unexplained Fatigue Patients and Explained Fatigue Patients.","/pubmed/29788707","Yoo EH, Choi ES, Cho SH, Do JH, Lee SJ, Kim JH.","Korean J Fam Med. 2018 May;39(3):180-184. doi: 10.4082/kjfm.2018.39.3.180. Epub 2018 May 18.","Korean J Fam Med.  2018","PubMed","citation","PMID:29788707 | PMCID:PMC5975989","pubmed","29788707","create date:2018/05/24 | first author:Yoo EH",
"The effect of sleep quality on academic performance is mediated by Internet use time: DADOS study.","/pubmed/29787701","Adelantado-Renau M, Diez-Fernandez A, Beltran-Valls MR, Soriano-Maldonado A, Moliner-Urdiales D.","J Pediatr (Rio J). 2019 Jul - Aug;95(4):410-418. doi: 10.1016/j.jped.2018.03.006. Epub 2018 May 19.","J Pediatr (Rio J).  2019","PubMed","citation","PMID:29787701","pubmed","29787701","create date:2018/05/23 | first author:Adelantado-Renau M",
"Cortical Thickness Alterations in Chronic Pain Disorder: An Exploratory MRI Study.","/pubmed/29787468","Magon S, Sprenger T, Otti A, Papadopoulou A, Gündel H, Noll-Hussong M.","Psychosom Med. 2018 Sep;80(7):592-598. doi: 10.1097/PSY.0000000000000605.","Psychosom Med.  2018","PubMed","citation","PMID:29787468","pubmed","29787468","create date:2018/05/23 | first author:Magon S",
"Subclinical Markers of Cardiovascular Disease Among Police Officers: A Longitudinal Assessment of the Cortisol Awakening Response and Flow Mediated Artery Dilation.","/pubmed/29787400","Violanti JM, Fekedulegn D, Andrew ME, Charles LE, Gu JK, Miller DB.","J Occup Environ Med. 2018 Sep;60(9):853-859. doi: 10.1097/JOM.0000000000001358.","J Occup Environ Med.  2018","PubMed","citation","PMID:29787400 | PMCID:PMC6380888","pubmed","29787400","create date:2018/05/23 | first author:Violanti JM",
"Effect of Lavender cream with or without footbath on sleep quality and fatigue in pregnancy and postpartum: a randomized controlled trial.","/pubmed/29787355","Effati-Daryani F, Mohammad-Alizadeh-Charandabi S, Mirghafourvand M, Taghizadeh M, Bekhradi R, Zarei S.","Women Health. 2018 Nov-Dec;58(10):1179-1191. doi: 10.1080/03630242.2017.1414101. Epub 2018 May 22.","Women Health.  2018","PubMed","citation","PMID:29787355","pubmed","29787355","create date:2018/05/23 | first author:Effati-Daryani F",
"Effect of 2.94 µm Er: YAG laser on the chemical composition of hard tissues.","/pubmed/29785759","Aljdaimi A, Devlin H, Dickinson M, Alfutimie A.","Microsc Res Tech. 2018 Aug;81(8):887-896. doi: 10.1002/jemt.23051. Epub 2018 May 21.","Microsc Res Tech.  2018","PubMed","citation","PMID:29785759","pubmed","29785759","create date:2018/05/23 | first author:Aljdaimi A",
"Impact of targeting transforming growth factor β-2 with antisense OT-101 on the cytokine and chemokine profile in patients with advanced pancreatic cancer.","/pubmed/29785126","D'Cruz OJ, Qazi S, Hwang L, Ng K, Trieu V.","Onco Targets Ther. 2018 May 14;11:2779-2796. doi: 10.2147/OTT.S161905. eCollection 2018.","Onco Targets Ther.  2018","PubMed","citation","PMID:29785126 | PMCID:PMC5957068","pubmed","29785126","create date:2018/05/23 | first author:D'Cruz OJ",
"Disrupted reward and cognitive control networks contribute to anhedonia in depression.","/pubmed/29783076","Gong L, He C, Zhang H, Zhang H, Zhang Z, Xie C.","J Psychiatr Res. 2018 Aug;103:61-68. doi: 10.1016/j.jpsychires.2018.05.010. Epub 2018 May 12.","J Psychiatr Res.  2018","PubMed","citation","PMID:29783076","pubmed","29783076","create date:2018/05/22 | first author:Gong L",
"The effects of an expanded cognitive stimulation therapy model on the improvement of cognitive ability of elderly with mild stage Dementia living in a community - a randomized waitlist controlled trial.","/pubmed/29781725","Young DK, Ng PY, Kwok T, Ho F, Cheng D, Mak V, Lau A.","Aging Ment Health. 2019 Jul;23(7):855-862. doi: 10.1080/13607863.2018.1471586. Epub 2018 May 21.","Aging Ment Health.  2019","PubMed","citation","PMID:29781725","pubmed","29781725","create date:2018/05/22 | first author:Young DK",
"Neuromuscular Electrical Stimulation Compared to Volitional Exercise for Improving Muscle Function in Rheumatoid Arthritis: A Randomized Pilot Study.","/pubmed/29781580","Piva SR, Khoja SS, Toledo FGS, Chester-Wasko M, Fitzgerald GK, Goodpaster BH, Smith CN, Delitto A.","Arthritis Care Res (Hoboken). 2019 Mar;71(3):352-361. doi: 10.1002/acr.23602. Epub 2019 Feb 12.","Arthritis Care Res (Hoboken).  2019","PubMed","citation","PMID:29781580 | PMCID:PMC6249117","pubmed","29781580","create date:2018/05/22 | first author:Piva SR",
"Couple Reports on Intimate Partner Violence and their Health Impact: Evidence From a Population-Based Survey in Japan.","/pubmed/29781339","Nakamura S, Hashimoto H.","J Interpers Violence. 2018 May 1:886260518777008. doi: 10.1177/0886260518777008. [Epub ahead of print]","J Interpers Violence.  2018","PubMed","citation","PMID:29781339","pubmed","29781339","create date:2018/05/22 | first author:Nakamura S",
"Effect of Rapid Maxillary Expansion on Glenoid Fossa and Condyle-Fossa Relationship in Growing Patients (MEGP): Study Protocol for a Controlled Clinical Trial.","/pubmed/29780738","Ghoussoub MS, Rifai K, Garcia R, Sleilaty G.","J Int Soc Prev Community Dent. 2018 Mar-Apr;8(2):130-136. doi: 10.4103/jispcd.JISPCD_458_17. Epub 2018 Apr 24.","J Int Soc Prev Community Dent.  2018","PubMed","citation","PMID:29780738 | PMCID:PMC5946521","pubmed","29780738","create date:2018/05/22 | first author:Ghoussoub MS",
"Association of dietary patterns of American adults with bone mineral density and fracture.","/pubmed/29779504","Mazidi M, Kengne AP, Vatanparast H.","Public Health Nutr. 2018 Sep;21(13):2417-2423. doi: 10.1017/S1368980018000939. Epub 2018 May 21.","Public Health Nutr.  2018","PubMed","citation","PMID:29779504","pubmed","29779504","create date:2018/05/22 | first author:Mazidi M",
"Educational intervention on delirium assessment using confusion assessment method-ICU (CAM-ICU) in a general intensive care unit.","/pubmed/29775510","Ramoo V, Abu H, Rai V, Surat Singh SK, Baharudin AA, Danaee M, Thinagaran RRR.","J Clin Nurs. 2018 Nov;27(21-22):4028-4039. doi: 10.1111/jocn.14525. Epub 2018 Jul 30.","J Clin Nurs.  2018","PubMed","citation","PMID:29775510","pubmed","29775510","create date:2018/05/19 | first author:Ramoo V",
"Pre-obesity and obesity impacts on passive joint range of motion.","/pubmed/29775425","Jeong Y, Heo S, Lee G, Park W.","Ergonomics. 2018 Sep;61(9):1223-1231. doi: 10.1080/00140139.2018.1478455. Epub 2018 Jun 19.","Ergonomics.  2018","PubMed","citation","PMID:29775425","pubmed","29775425","create date:2018/05/19 | first author:Jeong Y",
"Predicting inferior vena cava (IVC) filter retrievability using positional parameters: A comparative study of various filter types.","/pubmed/29773346","Gotra A, Doucet C, Delli Fraine P, Bessissow A, Dey C, Gallix B, Boucher LM, Valenti D.","Diagn Interv Imaging. 2018 Oct;99(10):615-624. doi: 10.1016/j.diii.2018.04.003. Epub 2018 Aug 10.","Diagn Interv Imaging.  2018","PubMed","citation","PMID:29773346","pubmed","29773346","create date:2018/05/19 | first author:Gotra A",
"Botulinum Toxin Type A Injection for Cervical Dystonia in Adults with Dyskinetic Cerebral Palsy.","/pubmed/29772695","Yi YG, Kim K, Yi Y, Choi YA, Leigh JH, Bang MS.","Toxins (Basel). 2018 May 16;10(5). pii: E203. doi: 10.3390/toxins10050203.","Toxins (Basel).  2018","PubMed","citation","PMID:29772695 | PMCID:PMC5983259","pubmed","29772695","create date:2018/05/19 | first author:Yi YG",
"Sexual Satisfaction, Marital Intimacy, and Depression in Married Iranian Nurses With and Without Symptoms of Secondary Traumatic Stress.","/pubmed/29771198","Ariapooran S, Raziani S.","Psychol Rep. 2019 Jun;122(3):809-825. doi: 10.1177/0033294118776927. Epub 2018 May 17.","Psychol Rep.  2019","PubMed","citation","PMID:29771198","pubmed","29771198","create date:2018/05/18 | first author:Ariapooran S",
"Prospective Randomized Trial of Electrolysis for Chronic Plantar Heel Pain.","/pubmed/29771148","Fernández-Rodríguez T, Fernández-Rolle Á, Truyols-Domínguez S, Benítez-Martínez JC, Casaña-Granell J.","Foot Ankle Int. 2018 Sep;39(9):1039-1046. doi: 10.1177/1071100718773998. Epub 2018 May 17.","Foot Ankle Int.  2018","PubMed","citation","PMID:29771148","pubmed","29771148","create date:2018/05/18 | first author:Fernández-Rodríguez T",
"Quality of life after spinal cord injury: The impact of pain.","/pubmed/29770520","Burke D, Lennon O, Fullen BM.","Eur J Pain. 2018 Oct;22(9):1662-1672. doi: 10.1002/ejp.1248. Epub 2018 Jun 25.","Eur J Pain.  2018","PubMed","citation","PMID:29770520","pubmed","29770520","create date:2018/05/18 | first author:Burke D",
"Linking back-to-back stimulation cycles with oral contraceptives or progestins in women undergoing embryo accumulation for preimplantation genetic testing, a retrospective study.","/pubmed/29768947","Rodriguez-Purata J, Devesa M, Parriego M, Pardos C, Rodriguez I, Polyzos NP, Martínez F, Coroleu B.","Gynecol Endocrinol. 2018 Nov;34(11):955-960. doi: 10.1080/09513590.2018.1473363. Epub 2018 May 17.","Gynecol Endocrinol.  2018","PubMed","citation","PMID:29768947","pubmed","29768947","create date:2018/05/18 | first author:Rodriguez-Purata J",
"Association between Bone Mineral Density and Albuminuria: Cross-Sectional Analysis of Data from the 2011 Korea National Health and Nutrition Examination Survey V-2.","/pubmed/29766678","Yu TY, Kim HY, Lee JM, Lee DH, Cho CG.","Endocrinol Metab (Seoul). 2018 Jun;33(2):211-218. doi: 10.3803/EnM.2018.33.2.211. Epub 2018 May 4.","Endocrinol Metab (Seoul).  2018","PubMed","citation","PMID:29766678 | PMCID:PMC6021310","pubmed","29766678","create date:2018/05/17 | first author:Yu TY",
"Memory complaints in amnestic Mild Cognitive Impairment: More prospective or retrospective?","/pubmed/29766579","de Mendonça A, Felgueiras H, Verdelho A, Câmara S, Grilo C, Maroco J, Pereira A, Guerreiro M.","Int J Geriatr Psychiatry. 2018 Aug;33(8):1011-1018. doi: 10.1002/gps.4886. Epub 2018 May 15.","Int J Geriatr Psychiatry.  2018","PubMed","citation","PMID:29766579","pubmed","29766579","create date:2018/05/17 | first author:de Mendonça A",
"Risk communication in genetic counseling: Exploring uptake and perception of recurrence numbers, and their impact on patient outcomes.","/pubmed/29766486","Borle K, Morris E, Inglis A, Austin J.","Clin Genet. 2018 Aug;94(2):239-245. doi: 10.1111/cge.13379. Epub 2018 Jun 12.","Clin Genet.  2018","PubMed","citation","PMID:29766486","pubmed","29766486","create date:2018/05/17 | first author:Borle K",
"Race/ethnicity, psychological resilience, and social support among OEF/OIF combat veterans.","/pubmed/29763847","Herbert MS, Leung DW, Pittman JOE, Floto E, Afari N.","Psychiatry Res. 2018 Jul;265:265-270. doi: 10.1016/j.psychres.2018.04.052. Epub 2018 May 6.","Psychiatry Res.  2018","PubMed","citation","PMID:29763847","pubmed","29763847","create date:2018/05/16 | first author:Herbert MS",
"Health-Related Quality of Life in Adulthood in Untreated and Treated Individuals with Adolescent or Juvenile Idiopathic Scoliosis.","/pubmed/29762275","Diarbakerli E, Grauers A, Danielsson A, Gerdhem P.","J Bone Joint Surg Am. 2018 May 16;100(10):811-817. doi: 10.2106/JBJS.17.00822.","J Bone Joint Surg Am.  2018","PubMed","citation","PMID:29762275","pubmed","29762275","create date:2018/05/16 | first author:Diarbakerli E",
"Preliminary Use of the Physical and Neurological Examination of Subtle Signs for Detecting Subtle Motor Signs in Adolescents With Sport-Related Concussion.","/pubmed/29762156","Stephens JA, Denckla MB, McCambridge T, Slomine BS, Mahone EM, Suskauer SJ.","Am J Phys Med Rehabil. 2018 Jun;97(6):456-460. doi: 10.1097/PHM.0000000000000906.","Am J Phys Med Rehabil.  2018","PubMed","citation","PMID:29762156 | PMCID:PMC5987775","pubmed","29762156","create date:2018/05/16 | first author:Stephens JA",
"Decreased Nursing Staffing Adversely Affects Emergency Department Throughput Metrics.","/pubmed/29760847","Ramsey Z, Palter JS, Hardwick J, Moskoff J, Christian EL, Bailitz J.","West J Emerg Med. 2018 May;19(3):496-500. doi: 10.5811/westjem.2018.1.36327. Epub 2018 Apr 5.","West J Emerg Med.  2018","PubMed","citation","PMID:29760847 | PMCID:PMC5942016","pubmed","29760847","create date:2018/05/16 | first author:Ramsey Z",
"Inverted Rearfoot posture in subjects with coexisting patellofemoral osteoarthritis in medial knee osteoarthritis: an exploratory study.","/pubmed/29760787","Iijima H, Ohi H, Fukutani N, Aoyama T, Kaneda E, Abe K, Takahashi M, Matsuda S.","J Foot Ankle Res. 2018 May 8;11:17. doi: 10.1186/s13047-018-0261-6. eCollection 2018.","J Foot Ankle Res.  2018","PubMed","citation","PMID:29760787 | PMCID:PMC5941454","pubmed","29760787","create date:2018/05/16 | first author:Iijima H",
"Do Different Modes of Delivering Postoperative Instructions to Patients Help Reduce the Side Effects of Tooth Extraction? A Randomized Clinical Trial.","/pubmed/29758175","Gheisari R, Resalati F, Mahmoudi S, Golkari A, Mosaddad SA.","J Oral Maxillofac Surg. 2018 Aug;76(8):1652.e1-1652.e7. doi: 10.1016/j.joms.2018.04.019. Epub 2018 Apr 26.","J Oral Maxillofac Surg.  2018","PubMed","citation","PMID:29758175","pubmed","29758175","create date:2018/05/15 | first author:Gheisari R",
"Language Lateralization and Auditory Attention Impairment in Young Adults at Ultra-High Risk for Psychosis: A Dichotic Listening Study.","/pubmed/29755393","Aase I, Kompus K, Gisselgård J, Joa I, Johannessen JO, Brønnick K.","Front Psychol. 2018 Apr 27;9:608. doi: 10.3389/fpsyg.2018.00608. eCollection 2018.","Front Psychol.  2018","PubMed","citation","PMID:29755393 | PMCID:PMC5934990","pubmed","29755393","create date:2018/05/15 | first author:Aase I",
"Influence of APOE and RNF219 on Behavioral and Cognitive Features of Female Patients Affected by Mild Cognitive Impairment or Alzheimer's Disease.","/pubmed/29755337","Mosca A, Sperduti S, Pop V, Ciavardelli D, Granzotto A, Punzi M, Stuppia L, Gatta V, Assogna F, Banaj N, Piras F, Piras F, Caltagirone C, Spalletta G, Sensi SL.","Front Aging Neurosci. 2018 Apr 13;10:92. doi: 10.3389/fnagi.2018.00092. eCollection 2018.","Front Aging Neurosci.  2018","PubMed","citation","PMID:29755337 | PMCID:PMC5932379","pubmed","29755337","create date:2018/05/15 | first author:Mosca A",
"Stress-induced pro- and anti-inflammatory cytokine concentrations in panic disorder patients.","/pubmed/29754003","Petrowski K, Wichmann S, Kirschbaum C.","Psychoneuroendocrinology. 2018 Aug;94:31-37. doi: 10.1016/j.psyneuen.2018.05.005. Epub 2018 May 4.","Psychoneuroendocrinology.  2018","PubMed","citation","PMID:29754003","pubmed","29754003","create date:2018/05/14 | first author:Petrowski K",
"Effects of Whey Protein Supplementation Pre- or Post-Resistance Training on Muscle Mass, Muscular Strength, and Functional Capacity in Pre-Conditioned Older Women: A Randomized Clinical Trial.","/pubmed/29751507","Nabuco HCG, Tomeleri CM, Sugihara Junior P, Fernandes RR, Cavalcante EF, Antunes M, Ribeiro AS, Teixeira DC, Silva AM, Sardinha LB, Cyrino ES.","Nutrients. 2018 May 3;10(5). pii: E563. doi: 10.3390/nu10050563.","Nutrients.  2018","PubMed","citation","PMID:29751507 | PMCID:PMC5986443","pubmed","29751507","create date:2018/05/13 | first author:Nabuco HCG",
"Altered resting-state hippocampal and caudate functional networks in patients with obstructive sleep apnea.","/pubmed/29749715","Song X, Roy B, Kang DW, Aysola RS, Macey PM, Woo MA, Yan-Go FL, Harper RM, Kumar R.","Brain Behav. 2018 Jun;8(6):e00994. doi: 10.1002/brb3.994. Epub 2018 May 10.","Brain Behav.  2018","PubMed","citation","PMID:29749715 | PMCID:PMC5991585","pubmed","29749715","create date:2018/05/12 | first author:Song X",
"Body mass index and cardiorespiratory fitness in persons with multiple sclerosis.","/pubmed/29748963","Sebastião E, Motl RW.","Acta Neurol Scand. 2018 Oct;138(4):315-319. doi: 10.1111/ane.12959. Epub 2018 May 11.","Acta Neurol Scand.  2018","PubMed","citation","PMID:29748963","pubmed","29748963","create date:2018/05/12 | first author:Sebastião E",
"Improved hemodynamic and liver function in portal hypertensive cirrhotic rats after administration of B. pseudocatenulatum CECT 7765.","/pubmed/29748815","Gómez-Hurtado I, Zapater P, Portune K, Juanola O, Fernández-Iglesias A, González-Navajas JM, Gracia-Sancho J, Sanz Y, Francés R.","Eur J Nutr. 2019 Jun;58(4):1647-1658. doi: 10.1007/s00394-018-1709-y. Epub 2018 May 10.","Eur J Nutr.  2019","PubMed","citation","PMID:29748815","pubmed","29748815","create date:2018/05/12 | first author:Gómez-Hurtado I",
"Quantitative susceptibility map analysis in preterm neonates with germinal matrix-intraventricular hemorrhage.","/pubmed/29746715","Tortora D, Severino M, Sedlacik J, Toselli B, Malova M, Parodi A, Morana G, Fato MM, Ramenghi LA, Rossi A.","J Magn Reson Imaging. 2018 Nov;48(5):1199-1207. doi: 10.1002/jmri.26163. Epub 2018 May 10.","J Magn Reson Imaging.  2018","PubMed","citation","PMID:29746715","pubmed","29746715","create date:2018/05/11 | first author:Tortora D",
"Managing information gaps on caregivers of psychotic patients in primary health settings of Yogyakarta, Indonesia.","/pubmed/29744313","Marchira CR, Puspitosari WA, Rochmawati I, Mulyani S, Supriyanto I.","Health Promot Perspect. 2018 Apr 18;8(2):163-166. doi: 10.15171/hpp.2018.21. eCollection 2018.","Health Promot Perspect.  2018","PubMed","citation","PMID:29744313 | PMCID:PMC5935821","pubmed","29744313","create date:2018/05/11 | first author:Marchira CR",
